Country,Has_Market,Has_PPA,Has_Regulated,PrimaryBucket,Notes,RegimeEvidenceURL,RegimeEvidenceNote,ValidationStatus
South Sudan,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Sudan,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Tanzania,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Togo,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Tunisia,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Uganda,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Zimbabwe,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Cambodia,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Laos,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Myanmar,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
South Korea,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Taiwan,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Papua New Guinea,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Bolivia,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Ecuador,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Paraguay,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Peru,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Uruguay,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
Venezuela,FALSE,FALSE,FALSE,,Regime TBD,,,needs_source
