Country,Country_original,Country_NE,Has_Market,Has_PPA,Has_Regulated,PrimaryBucket,WB_Family_Code,WB_Family_Label,WB_Family_GroupNumber,WB_Subcode_10type,WB_Subtype_Label,Notes,RegimeEvidenceURL,RegimeEvidenceNote,ValidationStatus
Kazakhstan,Kazakhstan,Kazakhstan,True,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Capacity remuneration + admin pricing; day-ahead exists but generation largely regulated.,,,needs_source
Uzbekistan,Uzbekistan,Uzbekistan,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,New BOO CCGTs under sovereign-backed availability PPAs; SOE fleet regulated.,https://www.mift.uz/en/invest/investment-projects/energy,Recent BOO CCGTs under sovereign-backed availability PPAs.,validated
Algeria,Algeria,Algeria,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Benin,Benin,Benin,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Burkina Faso,Burkina Faso,Burkina Faso,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Burundi,Burundi,Burundi,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Central African Republic,Central African Republic,Central African Rep.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Chad,Chad,Chad,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
"Congo, the Democratic Republic of the",Democratic Republic of Congo,Dem. Rep. Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Djibouti,Djibouti,Djibouti,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Equatorial Guinea,Equatorial Guinea,Eq. Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Eritrea,Eritrea,Eritrea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Eswatini,Eswatini,eSwatini,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Ethiopia,Ethiopia,Ethiopia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Gabon,Gabon,Gabon,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Gambia,Gambia,Gambia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Guinea,Guinea,Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Lesotho,Lesotho,Lesotho,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Liberia,Liberia,Liberia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Libya,Libya,Libya,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Malawi,Malawi,Malawi,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Mali,Mali,Mali,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Mauritania,Mauritania,Mauritania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Niger,Niger,Niger,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Congo,Republic of Congo,Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Rwanda,Rwanda,Rwanda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Sierra Leone,Sierra Leone,Sierra Leone,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Somalia,Somalia,Somalia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
South Sudan,South Sudan,South Sudan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Sudan,Sudan,Sudan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Tanzania,Tanzania,Tanzania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Togo,Togo,Togo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Tunisia,Tunisia,Tunisia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Uganda,Uganda,Uganda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Zimbabwe,Zimbabwe,Zimbabwe,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Cambodia,Cambodia,Cambodia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Laos,Laos,Laos,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Myanmar,Myanmar,Myanmar,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
South Korea,South Korea,South Korea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Taiwan,Taiwan,Taiwan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Papua New Guinea,Papua New Guinea,Papua New Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Bolivia,Bolivia,Bolivia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Ecuador,Ecuador,Ecuador,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Paraguay,Paraguay,Paraguay,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Peru,Peru,Peru,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Uruguay,Uruguay,Uruguay,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Venezuela,Venezuela,Venezuela,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Afghanistan,Afghanistan,Afghanistan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Albania,Albania,Albania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
American Samoa,American Samoa,American Samoa,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Andorra,Andorra,Andorra,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Anguilla,Anguilla,Anguilla,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Antarctica,Antarctica,Antarctica,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Armenia,Armenia,Armenia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Aruba,Aruba,Aruba,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Australia,Australia,Australia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Austria,Austria,Austria,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Azerbaijan,Azerbaijan,Azerbaijan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bahamas,Bahamas,Bahamas,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bahrain,Bahrain,Bahrain,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Barbados,Barbados,Barbados,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belarus,Belarus,Belarus,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belgium,Belgium,Belgium,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belize,Belize,Belize,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bermuda,Bermuda,Bermuda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bhutan,Bhutan,Bhutan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bolivia,"Bolivia, Plurinational State of",Bolivia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bouvet Island,Bouvet Island,Bouvet I.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bulgaria,Bulgaria,Bulgaria,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cape Verde,Cabo Verde,Cabo Verde,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Canada,Canada,Canada,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cayman Islands,Cayman Islands,Cayman Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
China,China,China,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Christmas Island,Christmas Island,Christmas I.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cocos (Keeling) Islands,Cocos (Keeling) Islands,Cocos Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Comoros,Comoros,Comoros,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Congo,Congo,Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Congo, the Democratic Republic of the","Congo, The Democratic Republic of the",Dem. Rep. Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cook Islands,Cook Islands,Cook Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Costa Rica,Costa Rica,Costa Rica,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Croatia,Croatia,Croatia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cuba,Cuba,Cuba,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Curacao,Curaçao,Curaçao,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Cyprus,Cyprus,Cyprus,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Czech Republic,Czechia,Czechia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Ivory Coast,Côte d'Ivoire,Côte d'Ivoire,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Denmark,Denmark,Denmark,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Dominica,Dominica,Dominica,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Dominican Republic,Dominican Republic,Dominican Rep.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
El Salvador,El Salvador,El Salvador,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Estonia,Estonia,Estonia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Falkland Islands,Falkland Islands (Malvinas),Falkland Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Faroe Islands,Faroe Islands,Faeroe Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Fiji,Fiji,Fiji,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Finland,Finland,Finland,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
France,France,France,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
French Guiana,French Guiana,French Guiana,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
